"variable","groups","pval","estimatediff","pval.bonferroni"
"MEMORY","CN vs. MCI",1.44557393528273e-103,-1.08611074922305,8.67344361169635e-103
"LANGUAGE","CN vs. MCI",1.03995600853479e-34,-0.379045427011449,6.23973605120876e-34
"EXECUTIVE","CN vs. MCI",6.00062755643567e-33,-0.170615878246847,3.6003765338614e-32
"VISUOSPATIAL","CN vs. MCI",9.13403496250191e-14,-0.301527878183124,5.48042097750115e-13
"ORIENTATION","CN vs. MCI",2.17869722016212e-19,-0.104544644176236,1.30721833209727e-18
"ATTENTION","CN vs. MCI",4.6145565791001e-15,-0.049250984629278,2.76873394746006e-14
