"n_clusters","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9"
2,0.997648290305978,0.99466962798436,NA,NA,NA,NA,NA,NA,NA
3,0.968932893011574,0.914679157705704,0.906751450889167,NA,NA,NA,NA,NA,NA
4,0.973458253292079,0.854759246120525,0.938509272403972,0.902250412539638,NA,NA,NA,NA,NA
5,0.819428974970608,0.833981691114069,0.745511425937053,0.744090586037729,0.612901140120302,NA,NA,NA,NA
6,0.594770796791944,0.683597311324377,0.751570540944044,0.655580173809611,0.739898708509604,0.76785373090001,NA,NA,NA
7,0.725196529176992,0.821712279451732,0.79358077070756,0.739101391104977,0.798400400027374,0.784387152357609,0.636772407097533,NA,NA
8,0.758727776279068,0.913545468886101,0.806956361117793,0.704832907418434,0.826654892000763,0.805274779671808,0.608972713572332,0.745429498278494,NA
9,0.671489913729543,0.878825661065985,0.827757855773995,0.708072110159202,0.837402555821601,0.498296357233021,0.595346672932637,0.628268278028825,0.776089023323
